,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,feature_51,feature_52,feature_53,feature_54,feature_55,feature_56,feature_57,feature_58,feature_59,feature_60,feature_61,feature_62,feature_63,feature_64,feature_65,feature_66,feature_67,feature_68,feature_69,feature_70,feature_71,feature_72,feature_73,feature_74,feature_75,feature_76,feature_77,feature_78,feature_79,feature_80,feature_81,feature_82,feature_83,feature_84,feature_85,feature_86,feature_87,feature_88,feature_89,feature_90,feature_91,feature_92,feature_93,feature_94,feature_95,feature_96,feature_97,feature_98,feature_99
cell_530,-0.28128386,-0.29267746,0.028719217,0.978285,0.606889,-1.062439,-0.2540376,0.43973255,-0.20532885,0.31509963,-0.00788115,-0.19457962,0.7487488,0.7661428,1.7000219,-0.42988473,1.3479899,-0.74987584,-0.64014876,-1.5968399,1.30447,0.9585655,0.87681437,-0.4424045,-0.4156691,-1.5370998,-1.04764,0.47402754,0.9571162,0.19981414,1.095763,-1.2672173,0.51919013,0.5499646,0.43992764,-1.5088321,-1.111005,1.3249673,1.5871735,1.1916722,-0.5160737,1.1300315,1.3282142,0.9524636,0.22516797,0.06721191,1.060912,0.5278864,1.6464876,-0.77495646,-1.3347868,-0.43248773,-0.1518058,-0.7299525,0.38220754,0.13293934,-1.0410004,0.04908168,0.06778688,1.7490373,-0.44919896,-0.04639964,-0.653452,-1.6597024,-1.5017619,-1.4454879,0.946554,0.04325998,-0.1695013,0.30456802,-0.31517988,-0.5861834,1.4184473,-0.07285169,0.75157386,1.1287105,-0.4647477,-0.8522614,-1.4464973,0.56233287,-1.7114148,-0.25492334,1.0641065,0.21108198,0.37609258,1.3252025,1.2889986,0.23504403,-0.94688165,-0.0060110986,0.963258,0.50072837,1.1255763,1.5845232,0.36538768,0.09512234,1.6429785,-1.7634292,-1.3122398,1.0496933
cell_531,-0.7413529,-1.7555089,-1.5250105,-0.51419735,2.2636914,-1.8792934,0.15957002,2.0644047,-1.3259741,0.42718968,0.5435492,0.9292324,1.3719599,-0.6570635,-1.8792934,0.6947315,-1.2907547,-1.2089374,-1.723912,0.059432834,-0.91613024,-0.78477365,-0.56576043,1.3999016,-1.3109676,0.32909673,0.45366293,-0.3498448,-1.1765692,-0.2883507,1.5877941,0.70369434,0.45752046,-0.74406636,0.70656854,2.138092,-0.10863145,-1.2936652,-1.1716436,-1.8792934,1.9379961,-1.6729294,-1.409294,2.035608,0.93375194,-0.23980717,-0.65512556,0.13990304,2.0147476,-1.6071854,-0.42581856,-0.20742902,-0.8511647,-0.21756953,1.0200746,-0.6516345,-1.538552,-0.28978306,-1.8324224,-0.074423194,-0.053968847,-0.27945617,0.75107193,-0.47918138,-1.0027859,0.9698497,-1.2802787,-1.8792934,-0.9398091,-1.8792934,1.226073,-1.3335865,1.4217935,-0.6014389,1.5021474,0.051537514,0.43295157,0.8109739,-1.8792934,-0.6843943,0.5184365,-0.30495876,-0.50316405,-1.2315629,-1.7892511,1.6408764,-1.8792934,0.982358,1.6493117,-1.7607639,-0.8290698,-0.7001929,1.1129038,1.9566317,-1.5736811,1.181809,-1.6963025,0.58702654,1.7098669,-1.2961102
cell_532,0.42665496,-1.4728625,1.2200578,-0.1308201,-0.5799211,-0.73471314,-0.79330254,0.24476266,-1.2573617,1.8475522,-0.59167176,-0.112509176,1.011838,-1.3758059,-1.0266757,0.5594344,0.118137956,0.7450156,1.1159691,-0.32050267,1.2057806,0.9997865,1.2245415,-0.13864197,0.53478783,-0.16899797,0.21086657,0.51353914,-0.7145143,-1.1394932,0.5040021,1.0062232,1.5859334,-1.6132287,0.4367445,-0.40163916,0.2276116,0.38897857,-0.5390335,0.32362264,1.8051443,-1.8792934,-0.6321231,1.0571314,-0.60178924,-0.9508858,-0.2917635,-1.3750045,-0.07514837,0.5353347,-0.0756229,-0.8859396,0.39765847,-1.8792934,1.0467508,1.3021259,0.4409536,2.0020938,-1.781917,1.0594518,-0.8151051,-1.7551291,-1.104901,-0.105934784,-0.8114996,0.024212906,1.3784231,-0.17736287,0.8768636,0.86213773,-0.13811296,0.3140794,0.42390817,0.16194816,3.08439,0.2682621,-0.52410835,-1.2162018,-1.8792934,-0.035559207,-1.2723628,-0.4656562,0.82980204,0.311781,-0.6630479,1.584564,1.2517713,-1.8168561,0.66326684,-1.3966428,0.12561816,1.6413999,2.9367652,0.76828825,-1.7207664,-1.3470476,-0.728335,-0.3147784,0.6169424,-0.38842493
cell_533,-1.0742415,-1.8792934,-1.838192,0.52442586,1.0547554,-1.3837457,-0.9803053,0.41393748,-1.354845,2.2024975,0.011481196,0.7428271,2.4061754,-1.8792934,-1.6682439,0.3222018,1.4827197,-0.72406346,-1.2173239,-0.171969,-1.3203166,0.69054323,-0.6310556,1.1657214,-1.715642,1.0805526,1.6592283,-0.579067,-1.8792934,-1.8792934,0.7642251,-1.068398,1.9047495,-1.8792934,1.6745611,1.1134448,2.0601459,-1.0928419,-0.45888677,-1.8792934,2.1519573,-0.6951176,-1.8792934,1.4262017,0.59606886,-0.5990873,-0.7591452,-0.779241,0.45745817,-0.4221415,-0.6987761,-0.4224655,-1.0900745,-0.7767907,0.83856946,-1.0144268,-1.444014,-1.3958606,-1.8792934,-1.2713121,-1.8792934,-0.20081499,0.3242737,-0.44332233,-1.3907624,-1.1788374,1.0748149,-1.7881694,-1.8792934,-1.3488873,-0.4773057,-0.9563677,1.5043976,-0.4529819,1.9850423,-1.8792934,0.38629472,0.04383558,-1.8792934,-0.67242396,0.43015867,0.80382174,-1.3243153,-1.8792934,-1.8792934,2.3731368,-1.4623082,-0.14552814,3.3730946,-1.0797906,-1.8792934,0.08426912,1.419695,1.0459018,0.10754947,0.72771585,-1.5852015,-0.047519296,2.0008953,-1.8287957
cell_534,1.5987567,1.616597,-1.2604605,2.1526845,0.25793642,-1.8365141,-1.8792934,2.1818538,0.11113816,-1.2703784,1.5867472,-1.6677015,-0.2542662,0.5181969,0.42866462,-1.6295025,-1.3219141,-1.5295767,-0.7849426,0.53792346,-1.8792934,-1.8792934,0.08825785,1.0185063,-1.298637,0.77791584,-1.2099258,-1.579214,-1.4662079,1.7576833,1.074221,-1.8792934,-1.059671,1.103111,0.49058172,1.3608718,-1.0541579,-0.34127793,-0.6568178,0.56928116,-1.8792934,1.292564,0.86746067,-0.21804984,-0.674917,0.7097182,0.89192176,0.26410186,1.0050083,-0.5296513,1.362171,-1.8792934,-0.78218657,-0.6245128,-1.8792934,-0.95153666,-1.7766759,1.4876609,-1.1846198,-0.428253,1.6094148,-1.8792934,0.7306627,0.58513784,0.8138819,-1.0496246,-1.2216209,-1.2980807,1.7110868,-0.1621292,1.9140887,1.800608,-1.0393347,0.9554863,-0.7316954,0.7347208,1.9785817,-1.3361102,0.5435122,-0.64029837,-1.8792934,1.2063717,1.1053395,0.4671849,1.4151126,-0.5097964,0.6927446,-0.18574369,-1.3583887,-1.7393907,1.2880752,-1.8792934,-0.9680283,-0.07330081,-0.87058985,0.7228998,1.2896241,0.60220927,0.48097014,0.8273798
cell_535,1.9595375,2.2411954,-0.73386616,0.9353552,0.22871967,-1.8792934,-1.8792934,2.9595096,-0.22272184,-1.1851616,1.4701341,-1.8792934,0.4875235,0.116254345,-0.14005148,-1.3451625,-0.76237065,-1.19076,-0.026989222,0.7287068,-1.8792934,-1.8792934,0.3050376,1.5294875,-1.5858002,1.3931392,-0.9183806,-1.3443059,-1.8792934,2.0035517,1.3604497,-1.8792934,-0.8689922,1.5973574,1.015626,0.9738978,-1.1385541,-0.8632069,-0.9901329,-0.24740365,-1.7279338,0.8773649,0.4970414,-0.04083985,0.22193506,0.8014141,0.24113488,0.33789322,1.2442957,-1.3624734,1.5681155,-1.8792934,-0.8987127,-0.9761097,-1.8792934,-0.7930254,-1.0872339,1.1014395,-1.4710393,0.22999382,1.9784163,-1.7714186,1.2071071,0.42180318,1.6179852,-1.1670654,-1.2368001,-0.95804536,1.5121906,-0.42634302,1.8803642,1.1378316,-0.973429,0.14147025,-0.99576247,0.5176828,1.9478431,-1.2273488,0.8761448,-1.3709397,-1.8792934,1.14067,0.23908168,0.8442873,0.69157314,-0.56914127,0.5626774,-0.7049149,-0.47172922,-1.2781365,1.9163172,-1.8176845,-0.43277943,-0.51805544,-0.79045844,0.7913391,1.1899617,-0.03387323,0.687595,1.2145296
cell_536,-1.2330347,0.41519082,-0.16300258,1.4538531,0.7612178,-0.7377866,-0.12530823,-1.1958622,-1.1562215,1.4112873,-0.7812203,0.82318544,1.301425,1.1118662,0.96645623,-0.7339692,1.9749619,-0.6734493,-1.3633382,-1.7268836,1.8233702,1.5121955,0.64787924,-0.7586412,-1.4465936,-1.3442365,-0.67942595,0.89412516,0.6939958,1.1021491,1.3879238,-1.2991527,1.7569109,1.5143262,0.34185123,-1.8792934,-0.66602165,1.8782398,1.6284565,1.6416247,0.050434887,1.9126284,1.6691525,0.8982603,-0.27149656,1.437813,0.62358665,0.7591158,0.70352817,-1.8792934,-1.3220481,1.2457917,-1.1441181,-0.9671787,0.5519594,0.43308988,-0.25415558,-1.136396,0.24962723,0.47399646,-1.2098087,0.68025684,-1.7292836,-1.4846382,-1.7845411,-1.8792934,1.2945039,1.5763026,0.570663,1.4699485,-0.4347968,-0.31895894,0.4792706,1.7424685,0.332126,-0.087251425,0.730074,-1.8792934,-1.3271931,1.1363261,-1.8248692,-0.51451087,0.72553486,0.8674185,0.6037366,0.9782,0.62646675,0.9854928,-0.12879162,-1.3839619,0.9453421,0.32124954,0.89335763,0.9218218,-0.8617232,-0.047291256,1.9077936,-0.8241323,-1.1517942,0.71885455
cell_537,0.61230195,-1.540853,2.4773583,-0.95314175,0.9530379,0.20454098,-0.9081967,-0.0486696,0.99063015,2.5047705,-1.5744734,-0.58329767,0.7799469,2.0155175,-0.8206394,0.03493072,0.35521358,0.7624442,-0.69322485,-0.92801905,-0.10062627,3.9820004,0.88436323,1.949904,-0.19398038,0.2865929,1.2767911,0.02609314,-0.9261181,-0.8794668,1.5019505,1.5615823,0.6591399,-1.8792934,-1.2202345,0.1090966,-0.7828605,2.2296605,0.8371106,0.21070841,2.4379585,-0.087277606,2.3994524,1.0192341,-1.8792934,0.8333577,-1.5163962,-0.9671897,0.1082893,-0.0835575,-1.0960718,0.27525496,1.8128288,-0.38523436,1.4113723,1.1819464,-0.70408046,-0.116151735,0.19106536,-0.9711755,-0.7502794,-1.6478504,0.29078457,0.94568646,-1.6106762,-1.6813143,-0.006688958,-1.1880455,-0.3605454,0.26475218,-1.3804168,0.6522961,-0.091153935,-0.8487857,0.0392254,1.510635,0.25802365,0.37702948,-0.024695247,0.85307956,-1.4419106,0.6407566,-0.5673416,-1.7004718,-1.3614014,2.7477174,0.48810148,-1.8792934,1.4620795,-0.24103989,-0.32151634,1.8126779,0.47196013,-1.0331156,-1.8792934,0.8833668,1.5419787,0.8698214,-1.2983229,0.6168085
cell_538,0.6183793,0.046169996,-1.1761274,0.3777616,-1.5959061,-1.3017646,0.12929827,-0.94875145,-1.8370683,1.6974638,-1.8792934,-1.8792934,1.3279425,-1.8792934,-1.4038559,2.6307697,3.7033184,0.84222317,1.5280309,0.7786855,2.1204624,-0.8837839,1.1920112,-0.3904149,1.4113104,-0.98263633,-1.5577391,0.5434065,-0.13286972,-0.4300941,1.019942,-1.4276626,0.7270324,-1.1150124,1.9065337,-1.141646,-0.44949138,-0.62279356,-1.424998,1.0019817,2.3959658,-0.3899357,-1.8792934,0.7602254,0.33030826,-1.40568,2.2067513,-1.5636214,-0.29804564,-0.60879683,1.3775766,-0.65781844,0.370817,-1.8792934,-0.789985,-0.39261568,0.1176395,-0.14380507,-1.0480186,1.8713802,-0.44025928,-1.0008941,-1.0582609,-1.8792934,-0.9039306,-1.8792934,2.2096138,0.1524919,0.117386386,0.9296131,0.4939136,-0.15054888,2.3268673,-0.826823,-1.2642016,-0.8279511,-1.2740752,-1.8792934,-0.67140615,1.0557563,-1.2633399,-1.7383895,0.90904135,0.8206321,-0.97792655,1.3338044,1.5802987,-0.6679219,0.86579573,1.0512049,0.3585662,1.2885319,1.1635361,1.2588947,1.1222354,-1.2860774,-1.2447524,-1.8792934,0.23325334,0.8669671
cell_539,1.7802652,-1.7257162,1.9592898,-0.09836358,-1.3824803,-1.2192954,-1.425874,0.3448003,-1.4809036,1.2542374,-0.83446884,-0.71820796,0.8523358,-0.05410123,-1.3029181,0.45948857,0.53867614,1.9283593,1.1683006,0.20273194,1.3065042,1.0676504,1.1465207,0.16556807,1.5036755,0.07184209,-0.3885914,1.0102168,-0.9080425,-0.7466527,0.09127551,1.5118474,0.62221277,-1.6648271,0.36634052,-0.17947698,-1.5117807,0.8796202,-1.0446216,0.41894245,1.3363111,-1.8792934,-0.018738896,1.4689068,-0.6860113,-1.1179818,-1.1093963,-1.1048688,-0.64174426,-0.16428569,0.853372,-0.9568258,1.4133852,-1.8792934,1.0278888,0.6804689,-0.84205,2.4398155,-1.8792934,0.83769083,-0.6908576,-1.7892663,-1.410169,-0.26779798,-0.33098388,0.568359,0.66283965,-0.27074692,0.10322079,1.2517602,0.5297532,-0.5492384,0.46957022,-0.41739148,3.374022,0.81315017,-0.71722144,-1.2749791,-0.90855277,0.6193185,-1.2598097,-0.84931713,1.9845701,0.970877,-0.6803385,2.3774953,0.9915441,-1.8792934,1.088218,-0.60278857,-0.60908055,1.6580508,3.0632648,0.011199728,-1.347043,-0.9073555,-0.5546569,-1.1366572,0.3913405,0.026488498
cell_540,1.1455551,-1.8792934,1.8038163,-0.75535005,-0.8398653,-1.0562966,-1.6994509,3.0656345,0.38262755,0.45281687,1.9279504,-0.48429632,-1.2745919,1.4455159,1.8086096,-1.1934656,-0.14234199,2.6536412,2.4036918,-1.1258266,0.30654952,0.6342647,1.1272999,0.95757186,1.9056515,0.78111875,0.42292187,0.19416037,-0.17740393,-0.087097615,0.6344482,1.3166625,0.3292062,-1.8792934,-0.6173681,0.5844945,-1.8792934,0.33207613,0.39376587,0.96847683,-1.6585407,-1.8792934,2.0666466,1.9534339,-0.9124274,-1.8792934,-1.8792934,0.25123125,1.159452,1.2817498,-1.075971,-1.7145572,1.4967853,-1.7607696,0.7267528,-0.07277194,-1.8792934,2.6851878,-0.60324156,1.258981,1.5828074,-1.8792934,-1.8595998,1.446126,0.28911853,1.8610785,-0.8713538,-1.5377958,0.9438695,-0.33308476,1.835692,-0.23340565,0.28714588,-0.3410343,2.5866802,1.7647543,-0.73095226,0.5134892,0.36696362,-0.6916611,-0.53727317,-1.2185571,2.4829044,-0.022251472,-1.208934,2.1496124,1.4631535,-1.8792934,0.27204663,1.1015912,-0.80278957,0.90191483,2.8898277,0.052430212,-0.6935511,0.24718988,0.48549107,-1.380098,-1.7986041,-0.56190085
cell_541,1.7113985,0.9246184,-0.8604072,0.88903034,0.5450213,-1.8792934,-1.8792934,2.046023,-0.6663015,-0.40502924,0.433303,-1.6484053,0.68726134,0.26352966,-0.72266346,-0.85596454,-0.6160131,-1.6211321,-0.44103014,0.56105113,-0.9746559,-1.5003176,0.9636723,1.2954279,-1.6048646,0.9798943,-0.55689853,-1.2473209,-1.5284913,1.7572851,1.6145792,-1.2387996,-1.104777,1.4057888,0.30725324,0.684852,-1.0418204,0.41347855,-0.9659717,0.15109175,-1.4774138,1.2335894,-0.10685801,0.17455247,-0.24194312,0.7427038,0.3045868,0.28112805,0.5214306,-1.3917572,1.4157246,-1.8792934,-1.377846,-0.82125187,-1.7853957,-0.7933512,-0.2836296,1.4953166,-1.1743002,-0.48077428,1.4902384,-1.8594081,0.8887161,0.29816929,1.3940862,-1.2487091,-0.7750623,-1.1696495,1.5347528,-0.47038323,2.0033739,0.8092679,-0.24990235,0.03477457,-1.1149766,0.71421134,1.2312505,-1.8792934,0.8478553,-1.2057734,-1.8792934,0.7782845,0.7394769,0.8928262,0.18169948,-0.6677667,0.041570514,-1.1387751,-0.93623173,-1.3401189,1.7089216,-1.1149873,0.42614222,0.0119846165,-0.478831,0.13867697,1.021668,0.045750212,1.2346895,0.97247124
cell_542,0.24977857,-0.3376025,0.7336601,0.44755536,0.87876195,-1.2254118,-0.92579347,1.3976761,-0.19258502,0.19447081,0.07516134,0.087249264,-0.30734605,0.8306463,1.2258837,0.14103001,0.57772744,-0.45424816,0.3589547,-0.9020698,1.3740921,-0.45811737,1.5686923,-0.8571147,0.99875885,-1.7887185,-1.0846925,1.0674584,0.98748046,2.052211,1.2920927,-0.45554358,0.45681968,0.2659871,0.8571086,-1.2473806,-1.0493097,1.3923559,1.1557338,1.3700984,0.4136673,0.45146707,0.6006881,1.1902181,0.7108155,0.4593613,0.17985755,0.39400613,2.3505192,-0.9740627,-1.2627274,-0.6761887,-0.19016385,-1.1807001,0.052676722,0.59788275,-1.3859377,0.78326774,1.3436575,2.2674193,0.5149358,-0.54416907,-1.2804437,-1.8792934,-1.1357837,0.028618827,0.5137536,-0.8356801,1.5680482,0.44939905,0.83920366,-0.15214115,1.9158975,0.6788497,0.8020632,1.5318805,-0.9126035,-1.771906,-1.3257326,1.554095,-1.4589372,-1.2152573,1.4079496,1.1464388,0.23322761,1.2244358,1.3248758,-0.22460747,-0.8539103,0.16398124,1.2133551,0.22009945,1.5920683,2.5193896,0.2911045,-0.90255415,1.1027461,-1.8792934,-1.353885,1.0499574
cell_543,-0.8864845,-1.8792934,-0.045733646,-0.44267544,1.8971277,-1.8792934,-1.4878402,0.9813595,-0.16840845,1.5980501,0.2229138,-1.2944554,1.5126171,1.1260439,0.87544644,-0.41802257,0.98607564,-0.5282245,0.39749026,-0.88754636,1.5221437,1.5000172,-0.21056303,1.8734312,-0.14995706,-0.7972691,-0.4479941,-1.7932336,-1.190065,-0.14893854,1.4887621,-0.0767702,-1.8792934,0.6297292,-0.23720121,-1.4201994,-1.4720385,0.3483467,1.1588597,-0.48653394,-1.3216681,0.7801732,-0.60744494,0.05977711,-1.38395,-0.90623367,1.3372624,1.6105042,2.164172,0.0025541782,-1.8236045,-1.6130432,0.7816688,-0.61298764,-0.6550398,1.2741666,-1.7773995,1.073547,-1.1388783,1.782521,-1.0602063,-0.17279667,-0.24626155,-1.521152,-1.5320821,-0.5260438,0.87565315,-1.601438,-1.572047,0.54010326,0.5274176,-0.97586244,1.3806086,-1.7948221,0.21632406,0.89817256,-1.0177037,0.8904725,-1.8792934,-0.48971114,-0.7559695,-0.88416564,-0.30654225,-0.9306877,-1.5196888,0.7254598,2.24894,-1.8792934,-0.65462494,0.581195,1.4641097,-0.83742756,-0.1455541,-0.49743512,0.7773976,0.4930193,1.857738,-1.8598055,-0.50226176,1.5751244
cell_544,1.5365971,0.95597607,-1.3635569,0.8239902,0.38915706,-1.8792934,-1.8792934,1.9417953,-1.3772128,0.2408956,0.12839212,-1.3631026,1.0706897,-0.43020993,-1.0371478,-0.79804605,-0.23108351,-0.9075787,-0.36195552,0.69217145,-1.179448,-1.1317363,0.7495121,1.0591977,-1.207878,0.53347075,-1.0950652,-1.2110775,-1.4467016,1.4219778,1.594048,-1.6066886,-0.045697838,1.373316,0.76965964,0.6395749,-0.8910091,-0.32233533,-1.5647924,0.20630957,-0.9517679,0.5905075,-0.60050446,0.48421124,-0.4200781,0.76353437,0.6641911,0.3180681,0.90891397,-0.8508856,1.1868017,-1.4352257,-0.8713711,-0.9373737,-1.4226922,-0.54788876,-1.1818285,1.232143,-1.8354332,-0.5165379,1.52492,-1.8118544,1.1054032,0.27221477,0.7469471,-1.2269105,-0.8752178,-0.6011554,0.8384781,-0.34417844,1.8379514,0.9257345,-0.6082525,0.6821299,0.22503373,0.19362476,2.6005006,-1.7441455,0.65690637,-0.7465267,-1.6164238,0.059389472,0.5686985,1.3065276,0.012930453,0.033230335,0.19783029,-0.3718405,-0.40157875,-1.8792934,1.4009694,-1.1465925,-0.56577367,-0.83578175,-1.3331988,0.3797669,0.93659395,-0.22952649,1.0437223,1.2925311
cell_545,-0.5710658,-0.41823214,1.0356632,0.7294724,0.1587666,-1.8792934,-0.777412,-0.20525058,-1.5059153,1.6534642,-1.3231736,-0.8916919,1.5088854,-0.42712203,-0.26725435,0.91723037,2.1269464,0.5023621,-0.07082345,-1.4997548,2.4389665,0.9967443,0.4474271,-0.2947368,0.045993436,-0.8843662,-1.8447745,0.38547212,-0.36414313,-0.41405877,0.8983006,-0.9593569,1.2133669,-0.2207695,1.6220715,-1.4744173,-1.3117914,1.2158989,-0.3479352,1.1120572,0.8821786,0.45860618,0.23874487,0.89324796,-0.29730698,-0.40727323,0.6447129,0.06716718,1.2340232,-0.54946333,0.21669734,-0.64588726,-0.09092585,-1.4123433,-0.0007511601,0.5661699,-0.9295082,0.40582803,-1.2127144,1.9034393,-1.2000167,-0.70734525,-0.69619775,-1.585863,-1.2654651,-1.0730002,1.4485784,0.7520474,0.007875085,1.154523,-0.38462085,-0.183596,1.0547143,0.027141016,1.1913548,0.62982345,-1.003844,-1.7242286,-1.427976,0.44686884,-1.2422463,-1.5117471,0.6826776,1.4730431,-0.61099505,2.0193026,0.9760269,-0.963817,0.1448349,-0.54779863,0.28768164,0.68471515,1.6146421,1.0856961,-0.51194835,-0.34921226,0.6540468,-1.315029,-0.0530533,1.0653766
cell_546,-0.4997696,-1.548239,2.042178,0.61557055,1.2890202,-1.8792934,-0.9571932,-0.34442297,-1.8098226,2.3303711,0.37405857,1.8054305,2.698259,1.5425792,1.4795331,-0.79324317,0.69273376,-0.3475539,-0.49318516,-1.8792934,2.1859674,2.8132288,0.028852269,-0.68473786,-1.500995,-0.8265946,-0.59489405,0.6293074,-1.8792934,-0.36393198,0.83941317,0.19196028,2.0533812,0.14749345,1.876228,-1.8792934,-1.4124233,2.454369,0.661167,0.89355457,-0.5397165,0.59600013,1.2643238,1.6919364,0.10552558,0.80868125,-0.26837355,1.8623965,0.83574426,-0.8731212,-1.8792934,-0.026546061,-1.5668409,-1.8792934,1.4165851,0.8916887,-1.5075353,0.75659645,-0.2237409,0.96242654,-1.6172532,0.382433,-1.8792934,-1.143685,-1.8792934,-0.16621582,0.393933,1.4101838,-0.10161324,1.4764223,0.11324921,-1.2850351,1.2566245,0.57020813,2.4229488,0.3077219,0.7887294,-1.2486334,-1.8792934,0.87394416,-1.2539762,-1.7700088,0.123419225,1.1302489,-0.39237642,1.7549567,1.0622416,-1.0120374,-0.2127654,-1.593664,0.8328492,0.34871793,1.8163232,0.5932984,-1.8792934,-0.74717754,1.8842345,-1.5889692,0.013907343,0.3914926
cell_547,-0.7539768,-1.8792934,-1.7608216,0.4582364,1.0774693,-1.8792934,-0.39848882,0.662426,-1.8792934,2.7876186,-0.37178916,0.4012895,2.9145648,-1.7851436,-0.8284365,-0.27514476,0.8354179,-0.8158021,-1.8792934,0.81482303,-0.2897222,1.5450249,-1.5213314,0.7243657,-1.8792934,1.2208383,1.3466889,-0.7000507,-1.8792934,-1.8792934,1.0378523,-0.22215049,2.5447886,-1.6624225,1.2900589,1.6064823,2.2084627,-1.4475871,-0.8761038,-1.8792934,1.862479,-0.9419674,-1.8792934,1.5774535,0.14222239,-0.89477706,-0.935416,-0.54858035,0.89628696,-1.5108975,-0.6346438,0.28754047,-1.252213,-0.6483407,0.98597944,-0.71539986,-1.3048348,-0.98515695,-1.8792934,-1.0259943,-1.8792934,-0.2859413,-0.58276033,0.015459716,-1.2590959,-0.45016548,0.5813752,-1.8792934,-1.851613,-1.0906186,-0.18549716,-0.5851792,2.3431644,0.3116193,2.6558542,-1.7172078,0.017774135,0.53405213,-1.8792934,-1.3663067,0.17238219,0.0025746524,-1.6677873,-1.8792934,-1.8792934,2.4213629,-1.5280526,-0.8448403,2.7668195,-1.8792934,-1.8792934,0.51383215,1.9309434,0.61223537,-0.6347831,0.92307633,-1.2624698,-0.082245335,1.8580835,-1.6849796
cell_548,-1.5753896,-1.8312364,-1.4533426,0.925225,1.2205596,-1.5587153,0.17889434,1.5663214,-1.6790913,0.50541675,1.1953012,0.10489407,2.4144297,-1.3189064,-1.0352755,0.38385305,-0.018848076,-0.8948829,-1.8792934,-0.2274589,-1.5822989,0.1292089,-1.2355673,1.0543822,-1.4078413,0.23790395,1.9881324,-0.6085974,-1.8792934,-1.4807482,1.3873045,-0.8355984,1.7079701,-1.5623435,2.1760516,1.7617767,1.1668663,-1.8792934,-0.41413322,-1.609255,1.6424655,-1.4188523,-1.274116,1.7833858,0.9294683,-0.18982795,-0.9944836,-0.15056051,2.1885147,-1.314516,-0.82591414,-0.69086885,-0.29604167,-1.8792934,0.90280557,-1.1273863,-1.8164202,-0.4161989,-1.8792934,-0.33033922,-1.102196,-0.46329445,0.07031268,-0.76220113,-1.3101236,0.1417155,0.41474968,-1.8792934,-1.6052011,-1.8792934,0.05275838,-0.6631867,1.5941586,-0.54772294,2.3385258,-1.031299,-0.04150665,1.0886828,-1.8663464,-1.51916,-0.030668974,0.6972643,-1.1653422,-1.3030123,-1.8792934,2.3250232,-1.2614423,0.42628634,2.4438217,-1.5719965,-1.8792934,0.38428298,1.8901564,1.5836911,-0.39032018,1.0262653,-1.0621247,-0.5547992,2.1797926,-0.98713326
cell_549,-0.8177326,-1.4403788,-0.29912674,-1.6832753,1.689532,-1.4698498,-1.8792934,1.5417858,1.2986507,0.8329326,0.47559178,-1.3439368,-0.20399332,1.0287702,1.9486313,-0.4989606,0.99015796,-0.42439067,1.0658883,-1.112946,1.4621897,0.22708549,0.43510056,1.3763772,1.2219312,-1.5745685,-1.3052282,-0.78819126,-0.5026659,0.6299567,1.8241711,0.016676575,-1.5416799,0.47581017,-0.27945268,-1.1042552,-1.8792934,-0.6798096,1.4995317,0.32665107,-1.6724701,1.9413714,0.36424422,0.1290403,-1.1058453,-1.3429852,0.65094644,1.4893343,2.8903642,0.7779162,-1.846501,-1.8728049,0.17414576,0.2943216,-0.3955575,1.6436205,-1.8792934,0.5723563,-0.19793007,1.9867194,0.07440516,-0.18068129,0.011118799,-1.8792934,-1.2731161,-0.11345941,0.51445097,-1.8792934,-0.710782,-0.50388247,0.7046244,-0.6901203,1.8223333,-1.1774726,0.62310153,1.4655962,-1.7018713,1.1162628,-1.4078113,-0.8112514,-0.932788,-0.9801198,-0.43660933,-1.221276,-0.79885423,0.38114306,1.796236,-1.6007893,-1.2071838,1.6868253,1.1018636,-0.12901184,0.38375497,0.8290764,1.509057,0.57665104,1.3505982,-1.7051581,-1.8792934,2.4893885
