,importance score
MIGA1,0.001246046884176788
FUBP1,0.002949474665401194
DNAJB4,0.0009179509462743287
GIPC2,0.002376380510472723
AC103591.3,0.0005492681477697245
IFI44L,0.004819024089419136
IFI44,0.004269181880807386
LINC01725,0.008348194817919147
PRKACB,0.0018797035453903253
RPF1,0.0004485011217891222
GNG5,0.0007500516624334992
SPATA1,0.0010328478810047218
CTBS,0.001987588250382718
SSX2IP,0.002622951346907862
MCOLN2,0.01906812662337316
C1orf52,0.002073044586707891
BCL10,0.00149132782188193
AL078459.1,0.0012310373508146845
ZNHIT6,0.005285975679871182
ODF2L,0.0034893760089229195
SH3GLB1,0.010896794823520689
SELENOF,0.0014286758323279834
HS2ST1,0.002292644893469052
LMO4,0.000521522689099254
PKN2,0.019591276594363247
GTF2B,0.0031989797724808512
KYAT3,0.004581836505608465
RBMXL1,0.012821315186952006
GBP3,8.502672849173987e-05
GBP1,0.002475353809630425
GBP2,0.008884074419657386
GBP4,0.006506940135680603
GBP5,0.004866491764469452
LRRC8B,0.005913482409111813
LRRC8C-DT,0.003990278843074446
LRRC8C,0.000247484165425391
LRRC8D,0.001916049348354063
ZNF326,0.03009714941767178
ZNF644,0.00018581454990938674
CDC7,6.731552569214322e-05
TGFBR3,0.004198836385065396
GLMN,0.00021119148394559554
RPAP2,0.0007514829226319808
GFI1,0.009117538058500562
EVI5,0.025194262611840434
RPL5,0.0011458783411236358
DIPK1A,0.00030488580824911436
MTF2,0.017213005343338784
TMED5,0.010243367134171212
CCDC18,0.0034330639328376076
CCDC18-AS1,0.0004054127744680067
DR1,0.0007198396430346309
BCAR3,0.0008247639033793651
DNTTIP2,9.169485029399059e-05
GCLM,0.00015038541331129714
ABCD3,0.00046347008995593106
PTBP2,0.005612136202045124
DPYD,0.0271016045269573
DPYD-AS1,0.004897772712990673
AGL,0.0027891751744731686
SLC35A3,0.002897265933533164
MFSD14A,0.004387118640905968
AC093019.2,0.0007055039896504184
SASS6,4.645546801792117e-05
TRMT13,0.001079157044445086
DBT,0.00047273516261847344
RTCA,0.0007276690449799542
CDC14A,0.01833012945244527
SLC30A7,0.015517156559289275
DPH5,0.004430244567369465
AC093157.1,0.0005844416426798425
S1PR1,0.0011329519326243006
RNPC3,0.007532336240177762
AMY2B,0.007101199194955497
VAV3,0.006316502311248934
VAV3-AS1,0.006196216384742347
SLC25A24,0.0025862283371669535
FAM102B,0.01194466795808214
PRPF38B,0.003454534488456889
STXBP3,0.002621572542018517
AKNAD1,0.004132710059716556
GPSM2,0.0005819949048121204
CLCC1,0.01193136163098272
WDR47,0.000517399797453639
TAF13,0.017256321663971955
TMEM167B,0.0018285756236143798
KIAA1324,0.011901921601021789
SARS,0.0021937577993216125
SORT1,0.011842577576447907
PSMA5,0.004861133602113879
GNAI3,0.0015890192135494575
AMPD2,0.011624566139037423
AHCYL1,0.0069450518000272405
STRIP1,0.001546727876439863
KCNC4,0.004403766376203728
RBM15,0.000749798002367611
LAMTOR5-AS1,0.003891203683851435
LAMTOR5,0.005748895232183583
AL365361.1,0.003216651187163449
CD53,0.011808853479988859
LRIF1,0.007791369702039807
DRAM2,0.019750280089698626
CEPT1,0.0014610752417575981
DENND2D,2.1469476176296517e-05
OVGP1,0.0002584137043935026
ATP5PB,0.0022194608846990405
C1orf162,0.008649130702724876
RAP1A,0.0009891197681615779
INKA2,0.0038267833380161774
DDX20,0.0001437001969670447
ST7L,0.0012684936444065484
CAPZA1,0.006075046406066847
MOV10,0.001084919122989648
RHOC,6.268214618369362e-05
SLC16A1,0.0011802955649938118
SLC16A1-AS1,0.005193207737864766
LRIG2,0.001330788635126274
MAGI3,0.006077622210894151
PHTF1,0.0002841127067819462
RSBN1,0.0005479808865562321
AL137856.1,0.00048030227850872243
PTPN22,0.0012056964332249932
AP4B1-AS1,0.0033116955113309254
AP4B1,0.01843573518146049
HIPK1-AS1,0.0032095021613253987
HIPK1,0.0008119849963097701
TRIM33,0.022113639319250374
BCAS2,0.0031088275076026186
DENND2C,0.0012480313466174814
NRAS,0.00022264721302851288
CSDE1,0.004488775711199034
SIKE1,0.008334099732474091
SLC22A15,0.0058596621208718315
ATP1A1,0.009851201539019524
ATP1A1-AS1,0.00297195714847553
CD58,0.001859260440143784
CD2,0.01349091907130099
TTF2,0.0021335965364694385
MAN1A2,0.006150767366332602
TENT5C,0.0010862290370777209
GDAP2,0.006951029327402586
WDR3,0.006018362445022549
WARS2,0.002807839382513685
WARS2-AS1,0.0018850584956147404
NOTCH2,0.012234231052475867
SEC22B,0.003480350967305597
NBPF26,0.0016628604201302545
AC253572.2,0.00044931244444480154
LINC00623,0.0014842784270798488
SRGAP2C,0.007509377408569782
LINC02798,0.008438620668245383
LINC02591,0.0028615113041249632
NBPF15,0.002621519010373327
SRGAP2B,0.0017309473291415472
AC245014.3,0.00032598413192107224
NBPF20,0.002772570728730048
GPR89A,0.002081167280615181
RNF115,0.002348755063853771
POLR3C,0.004368238282426003
PIAS3,0.004985586909987275
RBM8A,0.00034332011698708987
LIX1L-AS1,0.0019585992331783812
LIX1L,0.000544393464277486
POLR3GL,0.003727816753427089
TXNIP,0.0015112601853503518
AC239799.2,0.003384252570628096
NBPF10,0.0064119405697518235
AC245407.2,0.0003960320894124873
NBPF12,0.0006502081517387726
PRKAB2,0.0006428294930812703
AC242426.2,0.008123774019298338
GPR89B,0.0025547953060469117
NBPF11,0.0019483351389402944
LINC01138,0.0009352284052346286
NBPF14,0.003093892325533231
PDE4DIP,1.9090653118176944e-05
NBPF9,0.006667832469694938
AC245297.3,0.0006053519972237158
NOTCH2NLC,0.004718770413343346
NBPF19,0.004177909025725561
HIST2H2BF,0.011099361877957303
HIST2H2AA4,0.0013592187370533972
HIST2H4B,0.0024137282947499688
HIST2H2BE,0.0006673007438184926
HIST2H2AC,0.0031349206866033994
HIST2H2AB,0.011041738674535688
BOLA1,0.006852869037548377
SF3B4,0.003726870048616184
OTUD7B,0.0038245071529082976
VPS45,0.005305720717380632
PLEKHO1,0.0031444010399598607
AC242988.2,0.0021906958697997993
ANP32E,0.0006701607686654047
APH1A,0.0019228279261545855
C1orf54,0.000930234035690471
MRPS21,0.006593805150350069
PRPF3,0.0012908131905273767
RPRD2,0.002008086971006078
TARS2,0.0010663585756568326
ADAMTSL4-AS1,0.007734831359263845
MCL1,0.007848190638246284
ENSA,0.003316084389556091
CTSS,0.023902834276175997
ARNT,0.004353607383973789
SETDB1,0.0025569115750857475
CERS2,0.009058702554224843
MINDY1,0.0015374286672627505
PRUNE1,0.004152903747142021
C1orf56,0.005121853993804518
CDC42SE1,0.0009279972337556328
MLLT11,0.0008104577663229112
GABPB2,0.0029069032547962828
PIP5K1A,0.00044727365776649057
PSMD4,0.001967239300888745
ZNF687,0.010151904273431187
PI4KB,0.0007800830322597149
RFX5,0.0005035742517213253
PSMB4,0.0002893006254052882
POGZ,0.0020979961665143353
SNX27,0.001480197841726001
MRPL9,0.001123085835373911
THEM4,0.006277238642091301
S100A10,0.002467960086364587
S100A11,7.790617915905479e-05
S100A9,0.0031463419853872865
S100A8,0.007109449347739227
S100A6,0.007276298377686478
S100A4,0.00860585011613044
AL162258.2,0.005551469246793293
CHTOP,0.002319859840611558
ILF2,0.0007197907545952594
INTS3,0.00392263390544711
SLC27A3,0.002489024001917294
GATAD2B,0.01002344327370723
DENND4B,0.0004164729722959734
CRTC2,0.005551694233936214
JTB,0.0024327866129428876
RPS27,0.03169024908526688
TPM3,0.001259994703178765
C1orf43,0.015239394343441157
UBAP2L,0.017549862179310264
HAX1,0.001897027249442364
ATP8B2,0.0016351032772954559
IL6R,0.004214383345955979
UBE2Q1,0.011222342855025848
ADAR,0.0005407432402731793
PMVK,0.0014039027360166422
PBXIP1,0.008250444490286406
SHC1,0.0006860073774526357
FLAD1,0.00023865423494124165
ZBTB7B,0.002235090654721907
ADAM15,0.0012986714086629476
SLC50A1,0.0022899856998546907
DPM3,0.0004900638115641347
KRTCAP2,0.001403610514143495
THBS3,0.0005125590356404648
MTX1,0.0010186138051678402
GBA,0.007702008462325189
SCAMP3,0.0022851800860310178
CLK2,0.00025783536172461965
FDPS,0.00025721774117428684
ASH1L,0.035857805591618004
MSTO1,0.02018818227651086
YY1AP1,0.0026662809694599806
DAP3,0.005434230558849073
GON4L,0.0015268095530527133
SYT11,0.014821711389759719
RIT1,0.0005392132963943668
KHDC4,0.0014991682534827246
ARHGEF2,0.004780715632333191
SSR2,0.0010137228480936763
UBQLN4,0.00871828580912087
LAMTOR2,0.005430135812554377
LMNA,0.06209457985161471
SEMA4A,0.017382341493713014
SLC25A44,0.0033644703841262218
PMF1,0.00019975866060003832
SMG5,0.0017806224353172169
CCT3,0.000480768897642395
C1orf61,0.00318407029826059
MEF2D,0.015096252662366434
NAXE,0.000911096157237615
GPATCH4,0.0006288723317196413
ISG20L2,0.00041147409251639987
RRNAD1,0.0039689010428051435
HDGF,0.0006124514351274711
PRCC,0.007264124857780673
SH2D2A,0.01022327805298625
ARHGEF11,0.007169427316787439
ETV3,0.0005726210277708899
FCRL5,0.0012939808478574326
FCRL3,0.0007747057921329099
FCRL2,0.0004281487121511429
FCRL1,0.0010374171497641899
MNDA,0.0010965002785540052
PYHIN1,0.0003924491012857588
IFI16,0.00744084233413441
FCRL6,0.0016109300272224604
CFAP45,0.003035110605805022
TAGLN2,0.010424647467313865
IGSF8,0.0017715167726797714
DCAF8,0.0006235916797132944
PEX19,0.003891407408835386
COPA,0.002398380174191579
NCSTN,0.0014548071856640046
SLAMF6,0.007696302200493048
CD84,0.008389774373042082
SLAMF1,0.0019088131799016815
CD48,0.011759289821969375
SLAMF7,0.01686864949406936
LY9,0.006289324617618529
CD244,0.017478246117406972
F11R,0.0003806527434191091
TSTD1,0.00391872905191613
USF1,0.002204974391831543
ARHGAP30,0.0015996228091622099
PFDN2,0.002630726892308438
NIT1,0.004050726674191009
DEDD,0.01595243688432919
UFC1,0.007788378764332828
USP21,0.002491866681138319
PPOX,0.0020184104799327554
B4GALT3,0.0022274260409923547
NDUFS2,0.002325243163642731
FCER1G,0.012194475732202713
SDHC,0.0022683800054873037
FCGR2A,0.01496374811572812
HSPA6,0.013619614450393417
FCGR3A,0.008152435126042133
ATF6,0.005023166421608377
SH2D1B,0.0018083841555735529
UHMK1,0.004273830876918359
UAP1,0.016181382942070208
HSD17B7,0.008253261085980134
MGST3,0.004543552192192354
ALDH9A1,0.005225023152531574
TMCO1,0.000878485004907906
UCK2,0.003122883538462776
POGK,0.0010564130903948192
TADA1,0.0014598543931209863
POU2F1,0.006197696451286945
CD247,0.017328103201771132
AL359962.2,0.004995688239248414
CREG1,0.00550010466066732
RCSD1,0.010811758400476306
MPC2,0.0008081893411227272
DCAF6,0.0018119314381063161
TIPRL,0.00581178883614938
SFT2D2,0.0010219838959948744
ATP1B1,0.001893932504113719
NME7,0.0031096358239321793
BLZF1,0.002751089217718488
SLC19A2,0.00451328385956968
C1orf112,0.00010673216650598089
SELL,0.0008124148828940917
SCYL3,0.0015135021357150652
KIFAP3,0.0017288714661407398
GORAB,0.00227168790502704
BX284613.2,0.008678872369766968
PRRC2C,0.00025098894548933657
VAMP4,0.0007913078819134653
DNM3,0.004816271335254927
SUCO,0.0047241546536572
AL645568.1,0.004565067472600234
PRDX6,0.0005595177990170016
KLHL20,0.009681896871331626
GAS5,0.0007494941294295915
ZBTB37,0.0004065958943399697
RC3H1,0.0009441991061759044
RABGAP1L,0.010962162973520645
Z99127.4,0.0010178042676437008
CACYBP,0.004107245451972432
KIAA0040,0.004620937776081082
COP1,0.020635166706966475
AL591043.2,0.0010530767418522882
RALGPS2,0.0012855515705458968
FAM20B,0.003987059317652755
TOR3A,0.0004887028538657145
ABL2,0.004012731552200467
SOAT1,0.05466301410219207
TOR1AIP2,0.019385743514730006
TOR1AIP1,0.0008374896719468836
CEP350,0.00031277625692594115
QSOX1,0.0008871225685959693
ACBD6,0.0025253861408400416
XPR1,0.009733733224179773
STX6,0.003698783139689517
MR1,0.0018039468388983293
IER5,0.005288266353142294
GLUL,0.009202013941096597
NPL,0.0004276914036279875
DHX9,0.007050676276940438
SMG7,0.0025657867616661863
NCF2,0.006064013617604113
ARPC5,7.812488792236613e-05
