,CD10,CD11b,CD11c,CD123,CD127,CD14,CD141,CD16,CD172a,CD185,CD19,CD192,CD197,CD21,CD24,CD25,CD269,CD27,CD278,CD279,CD3,CD304,CD319,CD38,CD39,CD4,CD40,CD45RA,CD45RO,CD56,CD66b,CD71,CD80,CD86,CD8a,CD95,FceRI,HLA.DR,IgD,IgG1.K.Isotype.Control,IgM,KLRG1,TCR.Va24.Ja18,TCR.Va7.2,TCR.a.b,TCR.g.d
cell_20,-0.28855628,-1.144949,0.20625688,-0.080912225,-0.5895406,0.62797725,-0.28855628,0.4072829,-0.5895406,-1.144949,0.4891024,0.20625688,0.7431622,-0.080912225,0.20625688,-1.144949,-0.5895406,1.9830828,-0.5895406,-0.5895406,2.6441844,-1.144949,-1.144949,1.338201,-1.144949,2.3819382,-0.080912225,1.8208158,0.7431622,-1.144949,-0.5895406,1.2927139,-1.144949,0.077781424,-0.28855628,0.3142019,-0.080912225,0.20625688,-0.28855628,-1.144949,-0.5895406,0.6880158,-1.144949,-1.144949,0.6880158,1.1344275
cell_21,-0.67272633,-1.1746101,0.6172223,-0.3802092,-0.67272633,0.4104389,-0.3802092,1.1445628,0.55468625,-1.1746101,0.8239477,0.11885635,0.6172223,-0.3802092,0.6747454,-1.1746101,-1.1746101,0.22973336,-1.1746101,-0.012326788,2.7444305,-0.67272633,0.11885635,0.7775753,-0.17295924,0.32575628,0.22973336,1.670565,1.1445628,-0.3802092,-1.1746101,-1.1746101,-0.67272633,-0.3802092,3.053893,0.22973336,-0.012326788,0.22973336,-0.67272633,-1.1746101,-1.1746101,0.4104389,-1.1746101,-0.67272633,0.4104389,1.3439792
cell_22,-0.2784731,-0.6202034,0.38937393,-0.2784731,-0.6202034,0.1292298,-0.2784731,0.4913537,-0.6202034,-1.282931,0.38937393,-1.282931,0.1292298,-0.04654923,0.96490455,-0.2784731,-1.282931,1.4794087,-0.04654923,0.66053367,2.766279,-1.282931,-1.282931,1.4543613,-0.6202034,2.8348954,0.1292298,1.5931877,1.3143585,-0.2784731,-0.6202034,-1.282931,-0.2784731,-0.6202034,0.1292298,-0.04654923,-0.6202034,0.1292298,0.1292298,-1.282931,-0.2784731,0.27081767,-0.6202034,-1.282931,0.96490455,0.96490455
cell_23,-1.0479947,-0.6718186,-0.10955771,-0.6718186,-0.25127432,0.46457517,-0.42992565,0.27342847,-0.10955771,-0.6718186,0.46457517,-0.25127432,0.19577096,-0.10955771,0.108227946,-0.6718186,-0.6718186,1.9457748,0.108227946,-0.6718186,2.7302103,-0.6718186,-0.25127432,2.5296252,-1.0479947,2.4346588,0.34320822,2.1932135,0.40656236,0.007910293,-1.0479947,-0.6718186,-1.0479947,-1.0479947,0.007910293,0.40656236,-1.0479947,0.19577096,-0.10955771,-1.0479947,-0.42992565,0.46457517,-1.0479947,-1.0479947,0.73674846,0.8408722
cell_24,-0.69998807,-1.194361,0.3802906,-0.20291716,0.45613992,0.29551432,-0.40944204,0.3802906,-1.194361,-0.40944204,0.29551432,0.1994259,0.088535,-0.40944204,0.7946289,-1.194361,-1.194361,1.858315,-0.20291716,-0.042564623,2.960804,-0.69998807,-0.20291716,1.6157614,-0.69998807,2.6365085,-0.69998807,2.0150518,0.645067,-0.042564623,-1.194361,-0.20291716,-0.40944204,-0.40944204,-0.20291716,0.1994259,-0.69998807,0.29551432,-0.042564623,-1.194361,-0.69998807,-0.042564623,-1.194361,-1.194361,0.6984429,1.1716423
cell_25,-0.9960657,-0.9960657,1.4649678,-0.3334069,-0.9960657,0.20578057,-0.695398,2.6921968,0.41428947,-0.9960657,-0.010054053,-0.3334069,0.20578057,-0.48981237,0.20578057,-0.9960657,-0.695398,0.63913345,-0.9960657,-0.3334069,0.8538723,-0.9960657,-0.010054053,2.4096668,-0.48981237,0.26442203,0.07001949,2.0923135,0.8305624,1.0331733,-0.9960657,-0.695398,-0.9960657,-0.695398,0.5362709,0.41428947,-0.48981237,0.14139579,-0.3334069,-0.695398,-0.9960657,2.212998,-0.9960657,-0.9960657,0.60660076,0.95943874
cell_26,0.4064728,-0.6664641,-0.04556683,1.0080011,-0.92531025,-0.43515393,-1.0074905,-0.7844418,-0.39656296,0.13805768,1.8454123,0.79378223,-0.09352625,1.0707171,0.53215766,-0.0691516,-0.43515393,-0.3599153,-1.1001436,-0.7844418,-0.20011114,-1.3307042,-1.1001436,2.1163435,0.7083803,-0.6139481,-0.11874539,1.5793576,0.020922475,-0.6664641,-1.1001436,0.08184358,-1.2063335,-0.04556683,-0.51907533,-0.3599153,-0.43515393,1.92858,1.5591619,-1.1001436,2.7794962,-0.7230655,-0.3599153,-0.6139481,-0.39656296,1.4245819
cell_27,-0.9232115,-0.9232115,0.17845158,0.35136473,0.17845158,0.8851756,-0.9232115,0.07462887,0.07462887,-0.9232115,0.35136473,-0.36444178,0.2698047,0.17845158,0.8851756,-0.36444178,-0.59369427,1.5553784,-1.5168412,0.17845158,2.4042616,-0.9232115,-1.5168412,0.6641096,-0.59369427,2.7540042,0.17845158,1.7258195,0.92261505,0.49219394,-1.5168412,-0.59369427,-0.9232115,-0.36444178,0.07462887,0.6641096,-1.5168412,0.4250297,0.07462887,-1.5168412,-0.59369427,0.76035994,-0.59369427,-0.9232115,0.61100227,1.1959448
cell_28,-0.6993231,-0.3885595,0.34530255,-0.1713119,0.51026726,0.34530255,-0.6993231,0.34530255,-1.2517811,-0.1713119,0.51026726,-0.3885595,0.4324374,-0.1713119,-0.1713119,0.2463317,-0.0041288896,1.9680221,-0.0041288896,-1.2517811,2.80294,-0.3885595,-0.3885595,0.34530255,-1.2517811,2.8611224,-0.0041288896,1.2126952,1.2927076,-0.3885595,-1.2517811,-0.0041288896,-1.2517811,-0.3885595,0.13179651,0.9429388,-1.2517811,-1.2517811,-0.1713119,-0.6993231,-0.3885595,0.70367557,-1.2517811,-1.2517811,0.4324374,1.5281453
cell_29,-1.0862122,-0.5724671,0.61048985,-0.28465644,0.0707292,0.30201682,-1.0862122,0.0707292,0.1962684,-0.5724671,0.6696593,-0.08375413,0.6696593,-0.08375413,0.8211587,-1.0862122,-0.5724671,2.1958523,-0.08375413,-0.5724671,2.5266535,-1.0862122,-0.28465644,1.4843148,-1.0862122,2.4223235,-0.08375413,2.2300885,0.77435154,-0.28465644,-1.0862122,-0.08375413,-0.28465644,-0.28465644,-0.08375413,0.0707292,-1.0862122,-0.28465644,-1.0862122,-1.0862122,-1.0862122,0.6696593,-1.0862122,-1.0862122,0.6696593,1.0805371
